"Scan Results","07/23/2026 at 05:16:48 (GMT-0300)"
"UNIPAMPA",,,,,"Brazil",
"Beatriz Roland Machado","unpam3br","Manager"

"Launch Date","Active Hosts","Total Hosts","Type","Status","Reference","Scanner Appliance","Duration","Scan Title","Asset Groups","IPs","Excluded IPs","Option Profile","FQDN"
"07/23/2026 at 04:17:46 (GMT-0300)","26","26","On-demand (default option profile)","Finished","scan/1784791066.29847","mulita-5080 (Scanner 15.2.5-1, Vulnerability Signatures 2.6.659-4)","00:36:47","VulnLab",,"172.30.1.1, 172.30.2.2, 172.30.4.1, 172.30.6.3-172.30.6.4, 172.30.7.1, 172.30.9.1-172.30.9.3, 172.30.14.1-172.30.14.2, 172.30.14.4-172.30.14.5, 172.30.15.1-172.30.15.2, 172.30.30.1, 172.30.40.7-172.30.40.8, 172.30.44.1-172.30.44.2, 172.31.1.1, 172.31.1.3, 172.31.1.5, 172.31.1.50, 172.31.1.96-172.31.1.97",,"Qualys Recommended Option Profile",

"IP","DNS","NetBIOS","OS","IP Status","QID","Title","Type","Severity","Port","Protocol","FQDN","SSL","CVE ID","Vendor Reference","Bugtraq ID","Threat","Impact","Solution","Exploitability","Associated Malware","Results","PCI Vuln","Instance","OS CPE","Category","Result Errors","Result Debug"
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","732750","Apache Hypertext Transfer Protocol Server (HTTP Server) Prior to 2.4.64 Security Vulnerabilities (CVE-2024-47252)","Practice","4","80","tcp",,,"CVE-2024-47252","Apache_HTTP_Server_2.4.64",,"Apache HTTP Server is an HTTP web server application. 

CVE-2024-47252:  Apache HTTP Server: mod_ssl error log variable escaping 


Affected Versions: 
Apache httpd 2.4.x before 2.4.64 

QID Detection Logic: 
The remote detection reviews the Apache version from the banner of the HTTP Server. 
The authenticated detections reviews Apache version from the command ""httpd -v"". 
Note: Detection is made practice as it checks for server banners only","Successful exploitation of this vulnerability may compromise the confidentiality, integrity, or availability of the data.","Customers are advised to update latest Apache httpd 
For more information please refer to Apachehttpserver (https://httpd.apache.org/security/vulnerabilities_24.html) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Apache HTTP Server (https://httpd.apache.org/security/vulnerabilities_24.html)",,,"Vulnerable Apache HTTP Server detected on port 80 - 
Date: Thu, 23 Jul 2026 07:21:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.14
Location: portal.php
Content-Length: 0
Connection: close
Content-Type: text/html","yes",,,"CGI",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","734128","Apache Hypertext Transfer Protocol Server (HTTP Server) Prior to 2.4.67 Security Vulnerabilities","Practice","4","80","tcp",,,"CVE-2026-29169","Apache_HTTP_Server_2.4.67",,"Apache HTTP Server is an HTTP web server application. 

CVE-2026-29169:  Apache HTTP Server: mod_dav_lock indirect lock crash 


Affected Versions: 
Apache httpd 2.4.x before 2.4.67 

QID Detection Logic: 
The remote detection reviews the Apache version from the banner of the HTTP Server. 
 Note : Detection is made practice as it checks for server banners only","Successful exploitation of this vulnerability may compromise the confidentiality, integrity, or availability of the data.","Customers are advised to update latest Apache httpd 
For more information please refer to Apachehttpserver (https://httpd.apache.org/security/vulnerabilities_24.html) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Apache HTTP Server (https://httpd.apache.org/security/vulnerabilities_24.html)",,,"Vulnerable Apache HTTP Server detected on port 80 - 
Date: Thu, 23 Jul 2026 07:21:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.14
Location: portal.php
Content-Length: 0
Connection: close
Content-Type: text/html","no",,,"CGI",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","734130","Apache Hypertext Transfer Protocol Server (HTTP Server) Prior to 2.4.67 Security Vulnerabilities","Practice","4","80","tcp",,,"CVE-2026-34059","Apache_HTTP_Server_2.4.67",,"Apache HTTP Server is an HTTP web server application. 

CVE-2026-34059:  Apache HTTP Server: mod_proxy_ajp: Heap Over-Read and memory disclosure in  ajp_parse_data() 


Affected Versions: 
Apache httpd 2.4.x before 2.4.67 

QID Detection Logic: 
The remote detection reviews the Apache version from the banner of the HTTP Server. 
 Note : Detection is made practice as it checks for server banners only","Successful exploitation of this vulnerability may compromise the confidentiality, integrity, or availability of the data.","Customers are advised to update latest Apache httpd 
For more information please refer to Apachehttpserver (https://httpd.apache.org/security/vulnerabilities_24.html) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Apache HTTP Server (https://httpd.apache.org/security/vulnerabilities_24.html)",,,"Vulnerable Apache HTTP Server detected on port 80 - 
Date: Thu, 23 Jul 2026 07:21:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.14
Location: portal.php
Content-Length: 0
Connection: close
Content-Type: text/html","yes",,,"CGI",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","20029","Oracle MySQL January 2017 Critical Patch Update (CPUJAN2017)","Practice","4","3306","tcp",,,"CVE-2017-3312, CVE-2017-3258, CVE-2017-3244, CVE-2017-3238, CVE-2017-3313, CVE-2017-3317, CVE-2017-3318, CVE-2017-3291, CVE-2017-3265, CVE-2016-8318, CVE-2017-3273, CVE-2017-3257, CVE-2016-8327, CVE-2017-3243, CVE-2017-3256, CVE-2017-3251, CVE-2017-3319, CVE-2017-3320","MySQL CPU January 2017","95580, 95557, 95571, 95538, 95565, 95482, 95486, 95589, 95560, 95520, 95583, 95501, 95491, 95527, 95585, 95588, 95479, 95470","This Critical Patch Update contains 18 new security fixes for Oracle MySQL. 
Affected Versions: 
MySQL Server, version(s) 5.5.53 and prior, 5.6.34 and prior, 5.7.16 and prior","Successful exploitation could allow an attacker to affect the confidentiality, integrity and availability of data on the target system.","Refer to vendor advisory Oracle MySQL January 2017 (http://www.oracle.com/technetwork/security-advisory/cpujan2017-2881727.htmlAppendixMSQL).
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle MySQL January 2017 (http://www.oracle.com/technetwork/security-advisory/cpujan2017-2881727.htmlAppendixMSQL)",,,"Vulnerable MySQL server detected: 5.5.47-0ubuntu0.14.04.1","yes",,,"Database",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","20037","Oracle MySQL April 2017 Critical Patch Update (CPUAPR2017)","Practice","4","3306","tcp",,,"CVE-2017-3308, CVE-2017-3309, CVE-2017-3329, CVE-2017-3453, CVE-2017-3456, CVE-2017-3461, CVE-2017-3462, CVE-2017-3463, CVE-2017-3464, CVE-2017-3600, CVE-2017-3302, CVE-2017-3305, CVE-2017-3450, CVE-2017-3599, CVE-2017-3452, CVE-2017-3331, CVE-2017-3454, CVE-2017-3455, CVE-2017-3457, CVE-2017-3458, CVE-2017-3459, CVE-2017-3460, CVE-2017-3465, CVE-2017-3467, CVE-2017-3468","MySQL CPU April 2017","96162, 97023, 97725, 97742, 97763, 97772, 97747, 97779, 97776, 97791, 97820, 97831, 97845, 97837, 97847, 97826, 97812, 97851, 97849, 97818, 97822, 97825, 97848, 97754, 97765","This Critical Patch Update contains 25 new security fixes for Oracle MySQL. 
Affected Versions: 
MySQL Server, versions 5.5.54 and prior, 5.6.35 and prior, 5.7.17 and prior","Successful exploitation could allow an attacker to affect the confidentiality, integrity and availability of data on the target system.","Refer to vendor advisory Oracle MySQL April 2017 (http://www.oracle.com/technetwork/security-advisory/cpuapr2017-3236618.htmlAppendixMSQL).
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle MySQL April 2017 (http://www.oracle.com/technetwork/security-advisory/cpuapr2017-3236618.html)","Source: The Exploit-DB
Reference:CVE-2017-3599
Description:MySQL < 5.6.35 / < 5.7.17 - Integer Overflow - The Exploit-DB Ref : 41954
Link:http://www.exploit-db.com/exploits/41954

Source: exploitdb
Reference:CVE-2017-3599
Description:MySQL < 5.6.35 / < 5.7.17 - Integer Overflow
Link:https://www.exploit-db.com/exploits/41954

Source: nvd
Reference:CVE-2017-3599
Description:Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Pluggable Auth). Supported versions that are affected are 5.6.35 and earlier and 5.7.17 and earlier. Easily ""exploitable"" vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 7.5
Link:https://www.secforce.com/blog/2017/04/cve-2017-3599-pre-auth-mysql-remote-dos/

Source: seebug
Reference:CVE-2017-3599
Description:Pre-Auth MySQL remote DOS (Integer Overflow)（CVE-2017-3599）
Link:https://www.seebug.org/vuldb/ssvid-92976

Source: packetstorm
Reference:CVE-2017-3599
Description:MySQL 5.6.35 / 5.7.17 Integer Overflow
Link:https://packetstormsecurity.com/files/142362/MySQL-5.6.35-5.7.17-Integer-Overflow.html

Source: 0day.today
Reference:CVE-2017-3599
Description:MySQL 5.6.35 / 5.7.17 Integer Overflow Exploit
Link:https://0day.today/exploit/27705
Reference:CVE-2017-3599
Description:MySQL 5.6.35 / 5.7.17 Integer Overflow Exploit
Link:https://raw.githubusercontent.com/vulncheck-oss/0day.today.archive/main/dos-poc/27705.txt

Source: github-exploits
Reference:CVE-2017-3599
Description:SECFORCE/CVE-2017-3599 exploit repository
Link:https://github.com/SECFORCE/CVE-2017-3599

Source: nist-nvd2
Reference:CVE-2017-3599
Description:Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Pluggable Auth). Supported versions that are affected are 5.6.35 and earlier and 5.7.17 and earlier. Easily ""exploitable"" vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 7.5
Link:https://www.secforce.com/blog/2017/04/cve-2017-3599-pre-auth-mysql-remote-dos/
Reference:CVE-2017-3599
Description:Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Pluggable Auth). Supported versions that are affected are 5.6.35 and earlier and 5.7.17 and earlier. Easily ""exploitable"" vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 7.5
Link:https://www.exploit-db.com/exploits/41954/",,"Vulnerable MySQL server detected: 5.5.47-0ubuntu0.14.04.1","yes",,,"Database",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","82054","TCP Sequence Number Approximation Based Denial of Service","Practice","3",,,,,"CVE-2004-0230",,"10183","TCP provides stateful communications between hosts on a network. TCP sessions are established by a three-way handshake and use random 32-bit sequence and acknowledgement numbers to ensure the validity of traffic. A vulnerability was reported that may permit TCP sequence numbers to be more easily approximated by remote attackers. This issue affects products released by multiple vendors.  
 
The cause of the vulnerability is that affected implementations will accept TCP sequence numbers within a certain range, known as the acknowledgement range, of the expected sequence number for a packet in the session. This is determined by the TCP window size, which is negotiated during the three-way handshake for the session. Larger TCP window sizes may be set to allow for more throughput, but the larger the TCP window size, the more probable it is to guess a TCP sequence number that falls within an acceptable range. It was initially thought that guessing an acceptable sequence number was relatively difficult for most implementations given random distribution, making this type of attack impractical. However, some implementations may make it easier to successfully approximate an acceptable TCP sequence number, making these attacks possible with a number of protocols and implementations.
 
This is further compounded by the fact that some implementations may support the use of the TCP Window Scale Option, as described in RFC 1323, to extend the TCP window size to a maximum value of 1 billion.
 
This vulnerability will permit a remote attacker to inject a SYN or RST packet into the session, causing it to be reset and effectively allowing for denial of service attacks. An attacker would exploit this issue by sending a packet to a receiving implementation with an approximated sequence number and a forged source IP address and TCP port.
 
There are a few factors that may present viable target implementations, such as those which depend on long-lived TCP connections, those that have known or easily guessed IP address endpoints and those implementations with easily guessed TCP source ports. It has been noted that Border Gateway Protocol (BGP) is reported to be particularly vulnerable to this type of attack, due to the use of long-lived TCP sessions and the possibility that some implementations may use the TCP Window Scale Option. As a result, this issue is likely to affect a number of routing platforms.
 
Another factor to consider is the relative difficulty of injecting packets into TCP sessions, as a number of receiving implementations will reassemble packets in order, dropping any duplicates. This may make some implementations more resistant to attacks than others.
 
It should be noted that while a number of vendors have confirmed this issue in various products, investigations are ongoing and it is likely that many other vendors and products will turn out to be vulnerable as the issue is investigated further.","Successful exploitation of this issue could lead to denial of service attacks on the TCP based services of target hosts.","Please first check the results section below for the port number on which this vulnerability was detected. If that port number is known to be used for port-forwarding, then it is the backend host that is really vulnerable.
 
Various implementations and products including Check Point, Cisco, Cray Inc, Hitachi, Internet Initiative Japan, Inc (IIJ), Juniper Networks, NEC and Yamaha are currently undergoing review. Contact the vendors to obtain more information about affected products and fixes. NISCC Advisory 236929 - Vulnerability Issues in TCP (http://packetstormsecurity.org/0404-advisories/246929.html) details the vendor patch status as of the time of the advisory, and identifies resolutions and workarounds.
 
Refer to US-CERT Vulnerability Note VU415294 (http://www.kb.cert.org/vuls/id/415294) and OSVDB Article 4030 (http://osvdb.org/4030) to obtain a list of vendors affected by this issue and a note on resolutions (if any) provided by the vendor.
 
For Microsoft: Refer to MS05-019 (https://docs.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-019) and MS06-064 (https://docs.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-064) for further details.
 
For SGI IRIX: Refer to SGI Security Advisory 20040905-01-P (ftp://patches.sgi.com/support/free/security/advisories/20040905-01-P.asc)
 
For SCO UnixWare 7.1.3 and 7.1.1: Refer to SCO Security Advisory SCOSA-2005.14 (ftp://ftp.sco.com/pub/updates/UnixWare/SCOSA-2005.14/SCOSA-2005.14.txt)
 
For Solaris (Sun Microsystems): The vendor has acknowledged the vulnerability; however a patch is not available. Refer to Sun Microsystems, Inc. Information for VU415294 (http://www.kb.cert.org/vuls/id/JARL-5YGQAJ) to obtain additional details. Also, refer to TA04-111A (http://www.us-cert.gov/cas/techalerts/TA04-111A.html) for detailed mitigating strategies against these attacks.
 
For NetBSD: Refer to NetBSD-SA2004-006 (ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2004-006.txt.asc)
 
For Cisco: Refer to cisco-sa-20040420-tcp-ios.shtml (http://www.cisco.com/warp/public/707/cisco-sa-20040420-tcp-ios.shtml).
 
For IBM : Refer to IBM-tcp-sequence-number-cve-2004-0230 (https://www.ibm.com/support/pages/tcp-sequence-number-approximation-based-denial-service-cve-2004-0230).
 
For Red Hat Linux: There is no fix available : Refer to  (https://access.redhat.com/security/cve/cve-2004-0230).
 






Workaround: The following BGP-specific workaround information has been provided.
 
For BGP implementations that support it, the TCP MD5 Signature Option should be enabled. Passwords that the MD5 checksum is applied to should be set to strong values and changed on a regular basis.
 
Secure BGP configuration instructions have been provided for Cisco and Juniper at these locations:
 
Secure Cisco IOS BGP Template (http://www.cymru.com/Documents/secure-bgp-template.html)
 
JUNOS Secure BGP Template (http://www.cymru.com/gillsr/documents/junos-bgp-template.pdf)","Source: The Exploit-DB
Reference:CVE-2004-0230
Description:Microsoft Windows - Malformed IP Options Denial of Service (MS05-019) - The Exploit-DB Ref : 942
Link:http://www.exploit-db.com/exploits/942
Reference:CVE-2004-0230
Description:Microsoft Windows XP/2000 - TCP Connection Reset - The Exploit-DB Ref : 276
Link:http://www.exploit-db.com/exploits/276
Reference:CVE-2004-0230
Description:TCP Connection Reset - Remote Denial of Service - The Exploit-DB Ref : 291
Link:http://www.exploit-db.com/exploits/291
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (1) - The Exploit-DB Ref : 24030
Link:http://www.exploit-db.com/exploits/24030
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (2) - The Exploit-DB Ref : 24031
Link:http://www.exploit-db.com/exploits/24031
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (3) - The Exploit-DB Ref : 24032
Link:http://www.exploit-db.com/exploits/24032
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (4) - The Exploit-DB Ref : 24033
Link:http://www.exploit-db.com/exploits/24033

Source: exploitdb
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (3)
Link:https://www.exploit-db.com/exploits/24032
Reference:CVE-2004-0230
Description:TCP Connection Reset - Remote Denial of Service
Link:https://www.exploit-db.com/exploits/291
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (4)
Link:https://www.exploit-db.com/exploits/24033
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (1)
Link:https://www.exploit-db.com/exploits/24030
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (2)
Link:https://www.exploit-db.com/exploits/24031
Reference:CVE-2004-0230
Description:Microsoft Windows - Malformed IP Options Denial of Service (MS05-019)
Link:https://www.exploit-db.com/exploits/942
Reference:CVE-2004-0230
Description:Microsoft Windows XP/2000 - TCP Connection Reset
Link:https://www.exploit-db.com/exploits/276

Source: nvd
Reference:CVE-2004-0230
Description:TCP, when using a large Window Size, makes it easier for remote attackers to guess sequence numbers and cause a denial of service (connection loss) to persistent TCP connections by repeatedly injecting a TCP RST packet, especially in protocols that use long-lived connections, such as BGP.
Link:http://www.securityfocus.com/bid/10183

Source: seebug
Reference:CVE-2004-0230
Description:Multiple Vendor TCP Sequence Number Approximation Vulnerability (1)
Link:https://www.seebug.org/vuldb/ssvid-77768
Reference:CVE-2004-0230
Description:Multiple Vendor TCP Sequence Number Approximation Vulnerability (3)
Link:https://www.seebug.org/vuldb/ssvid-77770
Reference:CVE-2004-0230
Description:Multiple Vendor TCP Sequence Number Approximation Vulnerability (2)
Link:https://www.seebug.org/vuldb/ssvid-77769
Reference:CVE-2004-0230
Description:Multiple Vendor TCP Sequence Number Approximation Vulnerability (4)
Link:https://www.seebug.org/vuldb/ssvid-77771
Reference:CVE-2004-0230
Description:TCP Connection Reset Remote Exploit
Link:https://www.seebug.org/vuldb/ssvid-18409

Source: packetstorm
Reference:CVE-2004-0230
Description:Kreset.pl
Link:https://packetstormsecurity.com/files/33182/Kreset.pl.html
Reference:CVE-2004-0230
Description:bgp-dosv2.pl
Link:https://packetstormsecurity.com/files/33174/bgp-dosv2.pl.html
Reference:CVE-2004-0230
Description:reset-tcp_rfc31337-compliant.c
Link:https://packetstormsecurity.com/files/33172/reset-tcp_rfc31337-compliant.c.html
Reference:CVE-2004-0230
Description:reset-tcp.c
Link:https://packetstormsecurity.com/files/33171/reset-tcp.c.html
Reference:CVE-2004-0230
Description:reset.zip
Link:https://packetstormsecurity.com/files/33153/reset.zip.html
Reference:CVE-2004-0230
Description:tcp_reset.c
Link:https://packetstormsecurity.com/files/33202/tcp_reset.c.html
Reference:CVE-2004-0230
Description:disconn.py
Link:https://packetstormsecurity.com/files/33185/disconn.py.html
Reference:CVE-2004-0230
Description:autoRST.c
Link:https://packetstormsecurity.com/files/33243/autoRST.c.html

Source: nist-nvd2
Reference:CVE-2004-0230
Description:TCP, when using a large Window Size, makes it easier for remote attackers to guess sequence numbers and cause a denial of service (connection loss) to persistent TCP connections by repeatedly injecting a TCP RST packet, especially in protocols that use long-lived connections, such as BGP.
Link:http://www.securityfocus.com/bid/10183",,"Tested on port 80 with an injected SYN/RST offset by 16 bytes.","no",,,"TCP/IP",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","87253","Apache HTTP Server Multiple Denial of Service Vulnerabilities","Practice","3",,,,,"CVE-2013-6438, CVE-2014-0098","Apache http","66303","Apache HTTP Server is an HTTP web server application.
 Multiple denial of service vulnerabilities reported in Apache HTTP Server can be exploited by an attacker remotely: 
- An error in the mod_log_config module when logging truncated cookies can be exploited to cause a crash of the worker thread via a specially crafted cookie. Successful exploitation of this vulnerability requires use of a threaded MPM.
 
- A boundary error in the mod_dav module when removing leading spaces can be exploited to corrupt memory via specifically crafted DAV WRITE requests. Affected Versions:
 Apache HTTP Server versions 2.4.x prior to 2.4.9 are affected.","These vulnerabilities can be exploited by malicious users to cause a denial of service.","These vulnerabilities have been patched in Apache 2.4.9. Refer to Apache httpd 2.4.9 Changelog (http://httpd.apache.org/security/vulnerabilities_24.html) or your Linux distro for further details.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Apache 2.4.9 (http://httpd.apache.org/download.cgi)",,,"QID 87253 detected on port 80 - 
Date: Thu, 23 Jul 2026 07:21:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.14
Location: portal.php
Content-Length: 0
Connection: close
Content-Type: text/html","no",,,"Web server",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","87322","Apache httpd Server ap_get_basic_auth_pw() Authentication Bypass Vulnerability","Practice","3",,,,,"CVE-2017-3167, CVE-2017-3169","Apache httpd 2.4.26","99135","Apache Web Server is an open-source web server. 
The use of the ap_get_basic_auth_pw() by third-party modules outside of the authentication phase may lead to authentication requirements being bypassed in vulnerable Apache httpd versions. 
Affected Versions: 
Apache httpd 2.2.x before 2.2.33 
Apache httpd 2.4.x before 2.4.26 
QID Detection Logic: 
The remote detection reviews the Apache version from the banner of the HTTP Server. 
The authenticated detections reviews Apache version from the command ""httpd -v"".","Successful exploitation allows remote attackers to bypass authentication and access sensitive information.","Customers are advised to upgrade to Apache httpd 2.2.33, 2.4.26 (https://httpd.apache.org/download.cgi) or later versions to remediate this vulnerability.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Apache httpd 2.2.33, 2.4.26 or later (https://httpd.apache.org/download.cgi)",,,"Vulnerable version of Apache HTTP Server detected on port 80 - 
Date: Thu, 23 Jul 2026 07:21:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.14
Location: portal.php
Content-Length: 0
Connection: close
Content-Type: text/html","yes",,,"Web server",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","11495","PHP Versions Prior to 5.6.11/5.5.27/5.4.43 ""mysqlnd"" BACKRONYM Vulnerability","Practice","3","80","tcp",,,"CVE-2015-3152, CVE-2015-4116","PHP ChangeLog","74398","PHP is a general purpose scripting language that is especially suited for web development and can be embedded into HTML. PHP has been reported to be vulnerable to BACKRONYM vulnerability which exist in the ""mysqlnd"" component. Affected Versions: 
PHP Versions Prior to 5.6.11,5.5.27,5.4.43","Successful exploitation of this vulnerability will allow an attacker to conduct a man-in-the-middle man, and downgrade the connection which can allow data tampering, or execute arbitrary sql queries","Users are advised to upgrade to the latest version of the software.For more information, please refer to the PHP Web site (http://www.php.net/).
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  PHP 5.6.11, PHP 5.5.27, PHP 5.4.43 (PHP) (http://www.php.net/)","Source: nvd
Reference:CVE-2015-3152
Description:Oracle MySQL before 5.7.3, Oracle MySQL Connector/C (aka libmysqlclient) before 6.1.3, and MariaDB before 5.5.44 use the --ssl option to mean that SSL is optional, which allows man-in-the-middle attackers to spoof servers via a cleartext-downgrade attack, aka a ""BACKRONYM"" attack.
Link:http://mysqlblog.fivefarmers.com/2014/04/02/redefining-ssl-option/
Reference:CVE-2015-4116
Description:Use-after-free vulnerability in the spl_ptr_heap_insert function in ext/spl/spl_heap.c in PHP before 5.5.27 and 5.6.x before 5.6.11 allows remote attackers to execute arbitrary code by triggering a failed SplMinHeap::compare operation.
Link:https://www.htbridge.com/advisory/HTB23262
Reference:CVE-2015-4116
Description:Use-after-free vulnerability in the spl_ptr_heap_insert function in ext/spl/spl_heap.c in PHP before 5.5.27 and 5.6.x before 5.6.11 allows remote attackers to execute arbitrary code by triggering a failed SplMinHeap::compare operation.
Link:https://bugs.php.net/bug.php?id=69737

Source: nist-nvd2
Reference:CVE-2015-3152
Description:Oracle MySQL before 5.7.3, Oracle MySQL Connector/C (aka libmysqlclient) before 6.1.3, and MariaDB before 5.5.44 use the --ssl option to mean that SSL is optional, which allows man-in-the-middle attackers to spoof servers via a cleartext-downgrade attack, aka a ""BACKRONYM"" attack.
Link:http://mysqlblog.fivefarmers.com/2014/04/02/redefining-ssl-option/
Reference:CVE-2015-4116
Description:Use-after-free vulnerability in the spl_ptr_heap_insert function in ext/spl/spl_heap.c in PHP before 5.5.27 and 5.6.x before 5.6.11 allows remote attackers to execute arbitrary code by triggering a failed SplMinHeap::compare operation.
Link:https://www.htbridge.com/advisory/HTB23262
Reference:CVE-2015-4116
Description:Use-after-free vulnerability in the spl_ptr_heap_insert function in ext/spl/spl_heap.c in PHP before 5.5.27 and 5.6.x before 5.6.11 allows remote attackers to execute arbitrary code by triggering a failed SplMinHeap::compare operation.
Link:https://bugs.php.net/bug.php?id=69737",,"PHP Versions Prior to 5.6.11/5.5.27/5.4.43 ""mysqlnd"" BACKRONYM Vulnerability detected on port 80 over TCP.","yes",,,"CGI",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","11625","PHP Versions Prior to 5.6.19/5.5.33 Multiple Vulnerabilities","Practice","3","80","tcp",,,"CVE-2016-3141","PHP ChangeLog",,"PHP is a general purpose scripting language that is especially suited for web development and can be embedded into HTML.
 
PHP Group released version 5.5.33/5.6.19 of PHP, fixing multiple use-after-free and null pointer dereference vulnerabilities
 
Affected Versions: 
PHP Versions Prior to 5.6.19,5.5.33","The vulnerabilities can be exploited by malicious users to execute arbitrary code in the context of the application, access sensitive information or cause denial of service conditions.","Users are advised to upgrade to the latest version of the software.For more information, please refer to the PHP Web site (http://www.php.net/).
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  PHP  5.6.19/5.5.33 (PHP) (http://www.php.net/)","Source: blogs
Reference:CVE-2016-3141
Description:Use-After-Free / Double-Free in WDDX Deserialize
Link:https://bugs.php.net/bug.php?id=71587",,"PHP Versions Prior to 5.6.19/5.5.33 Multiple Vulnerabilities detected on port 80 over TCP.","yes",,,"CGI",,
"172.30.9.2","bwapp.labvulnerabilities_vulnnet",,,"host scanned, found vuln","12868","PHP Fileinfo libmagic Multiple Denial of Service Vulnerabilities","Practice","3","80","tcp",,,"CVE-2014-1943, CVE-2014-2270","PHP","66002","PHP is a general purpose scripting language that is suited for web development and can be embedded in HTML.
 
PHP is exposed to two memory corruption vulnerabilities. 
 
Affected Versions: 
PHP 5.5.x versions prior to 5.5.10; 5.4.x prior to 5.4.26","Successful exploitation of these vulnerabilities will allow an attacker to cause a denial of service.","Users are advised to upgrade to the latest version 5.5.10 or 5.4.26. Latest version can be downloaded from here (http://in1.php.net/downloads.php)
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  PHP (http://us2.php.net/downloads.php)",,,"Date: Thu, 23 Jul 2026 07:21:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.14
Location: portal.php
Content-Length: 0
Connection: close
Content-Type: text/html","no",,,"CGI",,
